Table 1
device_name,device_name,alias,,,,
hb3-Det-ADnED,HB3:Det:N1:DoneCounting,acq_main_done_counting,,,,
hb3-Det-ADnED,HB3:Det:N1:ISDetector,acq_cnt_selector,,,,
hb3-TASUBMatrixAxes,HB3:Mot:m1v.RBV,m1v,,,,
hb3-TASUBMatrixAxes,HB3:Mot:m2v.RBV,m2v,,,,
hb3-TASUBMatrixAxes,HB3:Mot:s1v.RBV,s1,,,,
hb3-TASUBMatrixAxes,HB3:Mot:s2v.RBV,s2,,,,
hb3-TASUBMatrixAxes,HB3:Mot:a1v.RBV,a1,,,,
hb3-TASUBMatrixAxes,HB3:Mot:a2v.RBV,a2,,,,
hb3-TASUBMatrixAxes,HB3:Mot:sglv.RBV,sgl,,,,
hb3-TASUBMatrixAxes,HB3:Mot:sguv.RBV,sgu,,,,
hb3-TASUBMatrixAxes,HB3:Mot:eip,ei,,,,
hb3-TASUBMatrixAxes,HB3:Mot:efp,ef,,,,
hb3-TASUBMatrixAxes,HB3:Mot:ep,e,,,,
hb3-TASUBMatrixAxes,HB3:Mot:hp,h,,,,
hb3-TASUBMatrixAxes,HB3:Mot:kp,k,,,,
hb3-TASUBMatrixAxes,HB3:Mot:lp,l,,,,
hb3-TASUBMatrixAxes,HB3:Mot:qp,q,,,,
hb3-Galil3,HB3:Mot:ba:X:Center,ba_xcen,,,,
hb3-Galil3,HB3:Mot:ba:X:Gap,ba_xgap,,,,
hb3-Galil3,HB3:Mot:ba:Y:Center,ba_ycen,,,,
hb3-Galil3,HB3:Mot:ba:Y:Gap,ba_ygap,,,,
hb3-Galil3,HB3:Mot:bal,bal,,,,
hb3-Galil3,HB3:Mot:bar,bar,,,,
hb3-Galil3,HB3:Mot:bab,bab,,,,
hb3-Galil3,HB3:Mot:bat,bat,,,,
hb3-Galil3,HB3:Mot:bb:X:Center,bb_xcen,,,,
hb3-Galil3,HB3:Mot:bb:X:Gap,bb_xgap,,,,
hb3-Galil3,HB3:Mot:bb:Y:Center,bb_ycen,,,,
hb3-Galil3,HB3:Mot:bb:Y:Gap,bb_ygap,,,,
hb3-Galil3,HB3:Mot:bbl,bbl,,,,
hb3-Galil3,HB3:Mot:bbr,bbr,,,,
